repo_name,commit_num,commit,code_slice,ground_truth,prediction
Aoyama,0,e1ae1,NEW@<module>@client.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,0,e1ae1,NEW@<module>@cnc.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,0,e1ae1,NEW@conn@client.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,1,aa155,NEW@<module>@client.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,1,aa155,NEW@<module>@cnc.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,1,aa155,NEW@conn@client.py_slice.py,Core Attack Chain,Core Attack Chain
Aoyama,2,6f521,NEW@<module>@client.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,2,6f521,<module>@cnc.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Aoyama,2,6f521,NEW@conn@client.py_slice.py,Core Attack Chain,Core Attack Chain
Aoyama,3,d7398,NEW@<module>@client.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,3,d7398,NEW@<module>@cnc.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,3,d7398,NEW@conn@client.py_slice.py,Core Attack Chain,Core Attack Chain
Aoyama,4,f4eb3,NEW@<module>@client.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,4,f4eb3,NEW@<module>@cnc.py_slice.py,Full Attack Chain,Full Attack Chain
Aoyama,4,f4eb3,NEW@<module>@xor.py_slice.py,Benign,Benign
Aoyama,4,f4eb3,NEW@conn@client.py_slice.py,Core Attack Chain,Core Attack Chain
Crypton,0,1c480,NEW@<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,Undetermined,Undetermined
Crypton,1,2e411,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,1,2e411,NEW@<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,Benign,Benign
Crypton,2,990cb,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,2,990cb,NEW@<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,Benign,Benign
Crypton,2,990cb,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,3,5974a,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,3,5974a,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,3,5974a,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,4,a6ae5,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
