repo_name,commit_num,commit,code_slice,ground_truth,prediction
xortool,1,5e835,NEW@<module>@routine.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,2,a8b53,NEW@<body>@dirtysecrets.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,4,c42ea,NEW@<module>@tests_aspnet_viewstate_test.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,12,209e9,NEW@<body>@popsecrets.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,13,07804,NEW@<body>@popsecrets.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,15,70643,NEW@<body>@badsecrets.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,23,8ffb0,NEW@<body>@badsecrets_modules_peoplesoft_pstoken.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,62,14fda,NEW@<module>@examples_telerik_knownkey.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,65,9ed96,NEW@<module>@examples_telerik_knownkey.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,66,9f23c,NEW@<module>@examples_telerik_knownkey.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,67,ad59a,NEW@<module>@examples_telerik_knownkey.py_slice.py,Core Attack Chain,Core Attack Chain
badsecrets,69,aecba,NEW@<module>@examples_telerik_knownkey.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,80,32ee6,NEW@<module>@examples_telerik_knownkey.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,82,8c89e,NEW@<module>@examples_telerik_knownkey.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,82,8c89e,NEW@<module>@tests_examples_telerik_knownkey_test.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,86,1b757,NEW@<module>@examples_telerik_knownkey.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,86,1b757,NEW@<module>@tests_examples_telerik_knownkey_test.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,88,65e06,NEW@<module>@examples_telerik_knownkey.py_slice.py,Full Attack Chain,Full Attack Chain
badsecrets,88,65e06,NEW@<module>@tests_examples_telerik_knownkey_test.py_slice.py,Full Attack Chain,Full Attack Chain
ECommerceCrawlers,0,ffe1c,NEW@<body>@TaobaoCrawler_TK_crawler.py_slice.py,Full Attack Chain,Full Attack Chain
ECommerceCrawlers,4,202fc,NEW@<body>@TaobaoCrawler_TK_crawler.py_slice.py,Core Attack Chain,Core Attack Chain
ECommerceCrawlers,17,ed7ad,NEW@<body>@TaobaoCrawler_TK_crawler.py_slice.py,Core Attack Chain,Core Attack Chain
ECommerceCrawlers,23,77e2c,NEW@<body>@TaobaoCrawler_TK_crawler.py_slice.py,Core Attack Chain,Core Attack Chain
ECommerceCrawlers,33,2a021,NEW@<body>@TaobaoCrawler_TK_crawler.py_slice.py,Core Attack Chain,Core Attack Chain
ECommerceCrawlers,41,15d28,NEW@<body>@TaobaoCrawler_TK_crawler.py_slice.py,Core Attack Chain,Core Attack Chain
